score_mode,top_k,threshold_percentile,threshold,smoothing_window,ae_pred_col,hybrid_mode,pred_col,Accuracy,Precision,Recall,F1-score,Positive Windows,Evaluated Windows,delta_precision_vs_current_y_pred,delta_recall_vs_current_y_pred,delta_f1_vs_current_y_pred,delta_precision_vs_current_best,delta_recall_vs_current_best,delta_f1_vs_current_best,beats_current_y_pred_both,beats_current_best_f1,beats_current_best_both
topk,4.0,96.87360466212871,0.029374882578849792,2,y_pred_smooth2,loose_or_high_conf,y_hybrid_loose,0.5789650093951552,0.42828872577226984,0.9770122302618941,0.5955212957993853,71251,98455,0.00019893283545641127,0.0013446884805020654,0.00044220968339236943,-0.013629506788588153,0.008708458730870228,-0.011349239556582291,True,False,False
max,,96.87360466212871,0.031473077833652496,1,y_pred,ae_only,y_pred,0.5793611294500025,0.42843484618412914,0.9756035089966063,0.5954004572187811,71124,98455,0.0003450532473157075,-6.403278478572805e-05,0.0003213711027881816,-0.013483386376728856,0.007299737465582434,-0.011470078137186479,False,False,False
topk,3.0,96.87360466212871,0.029967475682497025,2,y_pred_smooth2,ae_only,y_pred_smooth2,0.5794626986948352,0.4284729646092387,0.9752513286802843,0.5953716552977738,71092,98455,0.0003831716724252976,-0.0004162131011077319,0.0002925691817808884,-0.013445267951619266,0.0069475571492604304,-0.011498880058193772,False,False,False
topk,4.0,96.87360466212871,0.029374882578849792,2,y_pred_smooth2,ae_only,y_pred_smooth2,0.5789142247727388,0.42817803754074407,0.9757315745661779,0.5951762523191094,71176,98455,8.824460393064282e-05,6.403278478583907e-05,9.716620311650548e-05,-0.013740195020113921,0.007427803035154001,-0.011694283036858155,True,False,False
topk,3.0,96.87360466212871,0.029967475682497025,1,y_pred,loose_or_high_conf,y_hybrid_loose,0.5784165354730587,0.42795023214711536,0.9767881155151438,0.5951524018532065,71291,98455,-0.00013956078969806773,0.0011205737337517396,7.33157372135862e-05,-0.013968000413742632,0.008484343984119902,-0.011718133502761074,False,False,False
topk,4.0,96.87360466212871,0.029374882578849792,1,y_pred,loose_or_high_conf,y_hybrid_loose,0.5778782184754456,0.42765868011769653,0.9772043286162515,0.5949475653970605,71370,98455,-0.0004311128191168967,0.0015367868348594715,-0.00013152071893240969,-0.01425955244316146,0.008900557085227634,-0.01192296995890707,False,False,False
topk,5.0,96.87360466212871,0.02836419828236103,2,y_pred_smooth2,loose_or_high_conf,y_hybrid_loose,0.5772891168554162,0.4273927392739274,0.9784849843119677,0.5949270989468767,71508,98455,-0.0006970536628860269,0.002817442530575698,-0.0001519871691162411,-0.01452549328693059,0.01018121278094386,-0.011943436409090902,False,False,False
topk,3.0,96.87360466212871,0.029967475682497025,1,y_pred,ae_only,y_pred,0.5783555939261592,0.4278312153338482,0.9754754434270346,0.5947935070132456,71215,98455,-0.00025857760296521537,-0.0001920983543574062,-0.0002855791027472909,-0.01408701722700978,0.007171671896010756,-0.012077028342721952,False,False,False
topk,4.0,96.87360466212871,0.029374882578849792,1,y_pred,ae_only,y_pred,0.5778274338530293,0.4275475138509012,0.9759236729205353,0.5946025027065514,71295,98455,-0.0005422790859122562,0.00025613113914324526,-0.00047658340944156663,-0.01437071870995682,0.007619901389511408,-0.012268032649416227,False,False,False
topk,5.0,96.87360466212871,0.02836419828236103,2,y_pred_smooth2,ae_only,y_pred_smooth2,0.5772586460819664,0.4272955076785239,0.9772363450086444,0.5946019655780338,71433,98455,-0.0007942852582895066,0.001568803227252391,-0.00047712053795911924,-0.01462272488233407,0.008932573477620553,-0.01226856977793378,False,False,False
topk,5.0,96.87360466212871,0.02836419828236103,1,y_pred,loose_or_high_conf,y_hybrid_loose,0.5762429536336398,0.42679232111692844,0.9787090990587181,0.5943864902439262,71625,98455,-0.0012974718198849877,0.0030415572773260235,-0.0006925958720667147,-0.015125911443929552,0.010405327527694186,-0.012484045112041375,False,False,False
topk,5.0,96.87360466212871,0.02836419828236103,1,y_pred,ae_only,y_pred,0.5762124828601899,0.4266946191474493,0.9774604597553948,0.5940613325031133,71550,98455,-0.0013951737893641014,0.0017929179740027168,-0.0010177536128795905,-0.015223613413408665,0.00915668822437088,-0.012809202852854251,False,False,False
topk,5.0,96.87360466212871,0.02836419828236103,1,y_pred,strict_and_high_conf,y_hybrid_strict,0.7915291249809557,0.9966607921343104,0.344016136261766,0.5114839938117339,10781,98455,0.568570999197497,-0.6316514055196261,-0.08359509230425899,0.5547425595734523,-0.6242876352692579,-0.09538654154423365,False,False,False
topk,5.0,96.87360466212871,0.02836419828236103,2,y_pred_smooth2,strict_and_high_conf,y_hybrid_strict,0.7915291249809557,0.9966607921343104,0.344016136261766,0.5114839938117339,10781,98455,0.568570999197497,-0.6316514055196261,-0.08359509230425899,0.5547425595734523,-0.6242876352692579,-0.09538654154423365,False,False,False
topk,4.0,96.87360466212871,0.029374882578849792,1,y_pred,strict_and_high_conf,y_hybrid_strict,0.7915088111319892,0.9965680363602635,0.3439841198693731,0.5114363917648459,10781,98455,0.5684782434234501,-0.6316834219120189,-0.08364269435114702,0.5546498037994054,-0.6243196516616507,-0.09543414359112168,False,False,False
topk,4.0,96.87360466212871,0.029374882578849792,2,y_pred_smooth2,strict_and_high_conf,y_hybrid_strict,0.7915088111319892,0.9965680363602635,0.3439841198693731,0.5114363917648459,10781,98455,0.5684782434234501,-0.6316834219120189,-0.08364269435114702,0.5546498037994054,-0.6243196516616507,-0.09543414359112168,False,False,False
topk,3.0,96.87360466212871,0.029967475682497025,1,y_pred,strict_and_high_conf,y_hybrid_strict,0.791498654207506,0.9965677179962894,0.3439521034769802,0.5114009615842339,10780,98455,0.568477925059476,-0.6317154383044119,-0.08367812453175905,0.5546494854354314,-0.6243516680540437,-0.0954695737717337,False,False,False
topk,3.0,96.87360466212871,0.029967475682497025,2,y_pred_smooth2,strict_and_high_conf,y_hybrid_strict,0.791498654207506,0.9965677179962894,0.3439521034769802,0.5114009615842339,10780,98455,0.568477925059476,-0.6317154383044119,-0.08367812453175905,0.5546494854354314,-0.6243516680540437,-0.0954695737717337,False,False,False
topk,4.0,97.5,0.030647289007902145,1,y_pred,strict_and_high_conf,y_hybrid_strict,0.7914884972830227,0.9966595527512294,0.3438880706921944,0.5113422675013687,10777,98455,0.5685697598144159,-0.6317794710891976,-0.08373681861462423,0.5547413201903715,-0.6244157008388295,-0.09552826785459889,False,False,False
topk,4.0,97.5,0.030647289007902145,2,y_pred_smooth2,strict_and_high_conf,y_hybrid_strict,0.7914884972830227,0.9966595527512294,0.3438880706921944,0.5113422675013687,10777,98455,0.5685697598144159,-0.6317794710891976,-0.08373681861462423,0.5547413201903715,-0.6244157008388295,-0.09552826785459889,False,False,False
topk,5.0,97.5,0.030052930116653442,1,y_pred,strict_and_high_conf,y_hybrid_strict,0.7914884972830227,0.9966595527512294,0.3438880706921944,0.5113422675013687,10777,98455,0.5685697598144159,-0.6317794710891976,-0.08373681861462423,0.5547413201903715,-0.6244157008388295,-0.09552826785459889,False,False,False
topk,5.0,97.5,0.030052930116653442,2,y_pred_smooth2,strict_and_high_conf,y_hybrid_strict,0.7914884972830227,0.9966595527512294,0.3438880706921944,0.5113422675013687,10777,98455,0.5685697598144159,-0.6317794710891976,-0.08373681861462423,0.5547413201903715,-0.6244157008388295,-0.09552826785459889,False,False,False
max,,96.87360466212871,0.031473077833652496,1,y_pred,strict_and_high_conf,y_hybrid_strict,0.7914377126606064,0.9965658065713755,0.3437600051226228,0.5111883450771282,10774,98455,0.5684760136345621,-0.6319075366587692,-0.08389074103886474,0.5546475740105175,-0.624543766408401,-0.0956821902788394,False,False,False
max,,96.87360466212871,0.031473077833652496,2,y_pred_smooth2,strict_and_high_conf,y_hybrid_strict,0.7914173988116399,0.996565168956554,0.343695972337837,0.5111174594105604,10772,98455,0.5684753760197405,-0.631971569443555,-0.0839616267054325,0.5546469363956961,-0.6246077991931869,-0.09575307594540716,False,False,False
topk,3.0,97.5,0.031316302716732025,1,y_pred,strict_and_high_conf,y_hybrid_strict,0.7913970849626732,0.996564531104921,0.34363193955305116,0.5110465669936196,10770,98455,0.5684747381681077,-0.6320356022283409,-0.0840325191223733,0.554646298544063,-0.6246718319779727,-0.09582396836234797,False,False,False
topk,3.0,97.5,0.031316302716732025,2,y_pred_smooth2,strict_and_high_conf,y_hybrid_strict,0.7913970849626732,0.996564531104921,0.34363193955305116,0.5110465669936196,10770,98455,0.5684747381681077,-0.6320356022283409,-0.0840325191223733,0.554646298544063,-0.6246718319779727,-0.09582396836234797,False,False,False
topk,5.0,98.0,0.03118884190917015,1,y_pred,strict_and_high_conf,y_hybrid_strict,0.79138692803819,0.9966564502646977,0.3435679067682654,0.5109878336230089,10767,98455,0.5685666573278843,-0.6320996350131267,-0.08409125249298399,0.5547382177038398,-0.6247358647627586,-0.09588270173295865,False,False,False
max,,97.5,0.03321482241153717,1,y_pred,strict_and_high_conf,y_hybrid_strict,0.7913767711137067,0.9965638930163447,0.3435679067682654,0.5109756678253417,10768,98455,0.5684741000795313,-0.6320996350131267,-0.08410341829065127,0.5546456604554868,-0.6247358647627586,-0.09589486753062593,False,False,False
topk,5.0,98.0,0.03118884190917015,2,y_pred_smooth2,strict_and_high_conf,y_hybrid_strict,0.7913767711137067,0.9966561396990525,0.34353589037587245,0.5109523809523809,10766,98455,0.568566346762239,-0.6321316514055195,-0.08412670516361198,0.5547379071381946,-0.6247678811551514,-0.09591815440358664,False,False,False
max,,97.5,0.03321482241153717,2,y_pred_smooth2,strict_and_high_conf,y_hybrid_strict,0.7913666141892235,0.9965635738831615,0.34353589037587245,0.5109402157091498,10767,98455,0.568473780946348,-0.6321316514055195,-0.08413887040684309,0.5546453413223036,-0.6247678811551514,-0.09593031964681775,False,False,False
topk,4.0,98.0,0.031794652342796326,1,y_pred,strict_and_high_conf,y_hybrid_strict,0.791346300340257,0.996655207655858,0.34343984119869375,0.5108460128104388,10763,98455,0.5685654147190446,-0.6322277005826983,-0.08423307330555407,0.554736975095,-0.6248639303323301,-0.09602452254552873,False,False,False
topk,4.0,98.0,0.031794652342796326,2,y_pred_smooth2,strict_and_high_conf,y_hybrid_strict,0.791346300340257,0.996655207655858,0.34343984119869375,0.5108460128104388,10763,98455,0.5685654147190446,-0.6322277005826983,-0.08423307330555407,0.554736975095,-0.6248639303323301,-0.09602452254552873,False,False,False
topk,3.0,98.0,0.0324898324906826,1,y_pred,strict_and_high_conf,y_hybrid_strict,0.7913158295668071,0.9965619773276343,0.3433758084139079,0.5107629298028383,10762,98455,0.5684721843908209,-0.6322917333674841,-0.08431615631315459,0.5546437447667762,-0.624927963117116,-0.09610760555312925,False,False,False
topk,3.0,98.0,0.0324898324906826,2,y_pred_smooth2,strict_and_high_conf,y_hybrid_strict,0.7913056726423239,0.9965616578384908,0.343343792021515,0.5107274675556613,10761,98455,0.5684718649016773,-0.632323749759877,-0.08435161856033158,0.5546434252776329,-0.6249599795095089,-0.09614306780030624,False,False,False
max,,98.0,0.035333018749952316,1,y_pred,strict_and_high_conf,y_hybrid_strict,0.7911126910771419,0.9969256567915036,0.3426074149964782,0.5099599695005719,10734,98455,0.5688358638546902,-0.6330601267849139,-0.08511911661542104,0.5550074242306455,-0.6256963565345457,-0.0969105658553957,False,False,False
max,,98.0,0.035333018749952316,2,y_pred_smooth2,strict_and_high_conf,y_hybrid_strict,0.7910923772281753,0.9969250838613493,0.3425433822116924,0.5098889577276843,10732,98455,0.5688352909245358,-0.6331241595696997,-0.08519012838830864,0.5550068513004913,-0.6257603893193315,-0.0969815776282833,False,False,False
